Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,65.0,11.05,11.35,0.3457,0.9349,0.0157,0.0298
2019-02-09,65.0,0.2,0.24,0.3386,-0.0613,0.0153,0.0291
2019-02-09,67.5,8.75,9.0,0.3222,0.8921,0.0245,0.0435
2019-02-09,67.5,0.38,0.43,0.321,-0.1071,0.0246,0.0442
2019-02-09,70.0,6.55,6.8,0.3009,0.8233,0.0368,0.0608
2019-02-09,70.0,0.68,0.75,0.3022,-0.1782,0.037,0.0613
2019-02-09,72.5,4.65,4.85,0.2907,0.7147,0.0498,0.0797
2019-02-09,72.5,1.15,1.28,0.2829,-0.282,0.0514,0.0804
2019-02-09,75.0,2.99,3.15,0.2741,0.5779,0.0609,0.0918
2019-02-09,75.0,2.03,2.12,0.2716,-0.4243,0.0622,0.0916
2019-02-09,77.5,1.74,1.86,0.2627,0.42,0.0634,0.0917
2019-02-09,77.5,3.2,3.4,0.2594,-0.5862,0.0654,0.0919
2019-02-09,80.0,0.85,0.91,0.246,0.2617,0.0564,0.0763
2019-02-09,80.0,4.85,5.05,0.25,-0.7429,0.0575,0.0777
2019-02-09,82.5,0.36,0.42,0.2388,0.1409,0.0399,0.0524
2019-02-09,82.5,6.85,7.1,0.2437,-0.8668,0.0421,0.0519
2019-02-09,85.0,0.14,0.18,0.2366,0.0675,0.0235,0.0306
2019-02-09,85.0,9.15,9.5,0.2623,-0.9253,0.0283,0.0346
2019-02-16,67.5,10.75,11.3,0.3072,0.965,0.0116,0.0168
2019-02-16,67.5,0.15,0.2,0.3468,-0.0532,0.0144,0.0235
2019-02-16,70.0,8.65,8.85,0.3226,0.9068,0.0238,0.0361
2019-02-16,70.0,0.31,0.36,0.3277,-0.0963,0.0241,0.0366
2019-02-16,72.5,6.45,6.75,0.3165,0.8276,0.0372,0.0553
2019-02-16,72.5,0.61,0.66,0.3115,-0.1691,0.0376,0.0568
2019-02-16,75.0,4.45,4.8,0.3006,0.7198,0.0517,0.073
2019-02-16,75.0,1.1,1.16,0.2929,-0.2767,0.0531,0.0719
2019-02-16,77.5,2.83,2.95,0.2777,0.5781,0.065,0.0848
2019-02-16,77.5,1.91,2.05,0.2812,-0.4245,0.065,0.0847
2019-02-16,80.0,1.54,1.67,0.2631,0.4082,0.0681,0.0841
2019-02-16,80.0,3.1,3.2,0.2611,-0.597,0.0698,0.0848
2019-02-16,82.5,0.7,0.75,0.2452,0.2396,0.0584,0.0673
2019-02-16,82.5,4.75,4.9,0.2493,-0.7638,0.0595,0.067
2019-02-16,85.0,0.28,0.32,0.2402,0.1204,0.0385,0.0434
2019-02-16,85.0,6.7,7.0,0.2296,-0.9043,0.0398,0.0386
2019-02-16,90.0,0.02,0.06,0.2402,0.021,0.0097,0.0109
2019-02-16,90.0,11.25,12.1,0.2296,-1.0,0.0001,0.0
2019-02-23,67.5,10.7,11.55,0.3542,0.9661,0.0113,0.0141
2019-02-23,67.5,0.01,0.06,0.3008,-0.0163,0.0072,0.0076
2019-02-23,70.0,8.35,9.2,0.3542,0.9189,0.0226,0.0282
2019-02-23,70.0,0.1,0.15,0.3008,-0.0513,0.0186,0.0198
2019-02-23,72.5,6.1,6.6,0.2901,0.882,0.0363,0.0371
